RenamedItemLabels,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,YoY April,MoM,Lowest,Highest,higherprice,lowerprice,meanperproduct
S.Bread,302.87,299.75,297.51,296.63,307.7,320.58,314.47,304.2,310.62,305.88,298.96,290.05,313.43,314.17,305.88,306.54,305.98,308.0,305.25,307.97,303.84,299.19,305.48,296.91,300.61,299.11,299.98,297.87,297.28,292.73,293.49,301.36,302.59,296.56,299.59,304.06,302.45,303.06,304.6,316.55,6.27,3.92,Bauchi ,Bayelsa ,446.15,238.57,295.92875000000004
Tomato,247.55,236.62,268.64,285.72,339.72,375.0,394.13,431.3,322.39,291.53,286.39,276.18,271.99,267.1,267.09,289.49,307.14,317.67,336.29,336.65,328.26,306.59,294.36,271.51,265.49,256.51,240.3,257.25,249.52,226.07,203.55,223.86,227.5,233.38,251.21,263.9,237.22,241.78,255.33,277.0,7.68,8.49,Borno ,Bayelsa ,462.22,117.19,275.48275
1 Egg,47.42,42.9,43.93,46.22,45.73,45.28,44.32,42.92,45.72,42.06,40.82,41.32,38.85,41.27,41.21,42.25,41.77,41.38,41.22,41.79,41.17,41.73,42.4,42.58,42.18,42.23,41.92,41.95,42.82,39.31,38.38,40.57,41.3,40.51,41.18,40.72,40.17,39.29,39.9,41.54,-0.98,4.11,Gombe ,Rivers ,49.95,35.15,40.79575
B.Beef,1001.24,995.65,1010.29,1035.45,1123.65,1129.02,1128.94,1151.38,1078.49,1081.3,1065.59,1067.73,1045.55,1017.28,1024.64,980.26,1011.11,1034.57,1028.12,1061.78,1027.66,1003.35,998.67,997.73,994.2,980.54,980.12,1025.26,1023.39,1003.2,1009.69,1007.39,1021.84,1025.69,1026.24,1045.86,1031.53,1035.38,1025.48,1047.12,2.13,2.11,Osun ,Cross River ,1403.85,786.22,1009.58175
D.Catfish,2204.12,2150.18,2189.55,2189.1,2213.66,2255.24,2215.25,2176.82,2159.0,2083.74,2214.33,2146.61,1852.92,1857.25,1793.58,1753.53,1779.71,1770.53,1792.12,1807.11,1766.55,2362.28,1814.97,1808.55,1814.67,1799.35,1791.9,1763.61,1766.55,1727.36,1700.51,1712.11,1709.8,1697.55,1723.23,1732.45,1720.55,1713.3,1711.32,1724.52,-2.22,0.77,Zamfara  ,Imo ,2699.05,1195.0,1848.9785
EC.Milk,136.29,140.53,143.56,151.47,157.95,162.8,162.72,158.85,174.36,170.6,169.44,159.72,172.24,166.55,158.51,160.22,165.26,166.23,165.74,162.99,166.28,163.34,162.42,163.28,164.39,161.6,161.98,161.68,163.37,156.95,157.14,156.98,159.61,159.51,157.21,157.89,157.11,150.54,153.37,160.98,-0.43,4.96,Nassarawa ,Ekiti ,203.33,140.88,156.6235
G.Oil,477.86,482.94,494.1,494.24,500.19,503.28,505.12,508.33,477.97,504.03,503.79,660.36,528.59,571.1,585.15,584.47,601.51,612.45,603.58,603.41,608.35,592.51,603.9,585.52,588.6,585.69,580.55,578.52,573.4,558.3,545.13,557.44,557.51,562.59,580.03,580.45,571.88,572.36,583.22,601.03,3.89,3.05,Kogi ,Cross River ,860.0,440.0,547.387
W.Maize,167.11,172.86,174.03,182.94,188.9,190.33,191.33,192.44,168.12,191.15,185.13,154.37,190.51,185.2,231.56,173.45,180.5,183.69,179.39,180.09,179.9,171.14,165.03,161.49,158.63,155.59,147.83,151.7,149.6,140.41,135.76,138.26,141.75,142.25,149.63,151.88,148.86,150.15,150.78,165.83,9.32,9.98,Borno ,Bayelsa ,307.29,83.31,164.0445
R.Plantain,234.25,234.28,236.65,240.71,241.48,249.71,251.27,254.02,231.7,247.38,244.89,240.84,273.71,257.63,259.83,262.31,273.48,276.6,270.77,275.78,272.6,245.62,254.08,227.28,229.51,225.98,223.13,228.34,226.34,220.44,217.22,225.04,220.42,208.69,218.01,213.04,206.17,207.82,220.91,236.49,3.57,7.05,Cross River ,Plateau ,330.26,153.89,233.84350000000003
V.Oil,495.29,507.36,513.42,525.72,524.77,546.29,552.91,559.01,505.51,547.11,540.2,565.04,540.25,549.02,533.45,548.01,553.23,552.08,547.9,540.44,546.85,536.08,536.53,507.83,516.72,509.14,506.65,501.09,496.64,495.41,485.05,491.41,486.9,502.34,512.53,516.29,515.48,520.95,530.85,551.92,10.15,3.97,Kwara ,Rivers ,698.04,447.5,513.21325
